datetime,temp
01/01/2018,21.73
02/01/2018,21.57
03/01/2018,21.13
04/01/2018,21.92
05/01/2018,20.86
06/01/2018,22.74
07/01/2018,21.01
08/01/2018,21.89
09/01/2018,20.4
10/01/2018,21.34
11/01/2018,20.5
12/01/2018,21.19
13/01/2018,19.85
14/01/2018,19.96
15/01/2018,20.72
16/01/2018,18.75
17/01/2018,20.21
18/01/2018,20.4
19/01/2018,20.93
20/01/2018,20.83
21/01/2018,20.25
22/01/2018,19.23
23/01/2018,20.56
24/01/2018,21.07
25/01/2018,20.56
26/01/2018,19.59
27/01/2018,20.26
28/01/2018,18.89
29/01/2018,20.79
30/01/2018,19.32
31/01/2018,20.19
01/02/2018,21.19
02/02/2018,21.73
03/02/2018,19.63
04/02/2018,19.89
05/02/2018,18.57
06/02/2018,18.55
07/02/2018,19.71
08/02/2018,20.24
09/02/2018,20.77
10/02/2018,21.47
11/02/2018,19.71
12/02/2018,19.48
13/02/2018,19.02
14/02/2018,18.92
15/02/2018,18.84
16/02/2018,19.91
17/02/2018,20.97
18/02/2018,20.87
19/02/2018,19.29
20/02/2018,20.17
21/02/2018,20.29
22/02/2018,21.43
23/02/2018,20.83
24/02/2018,20.45
25/02/2018,21.17
26/02/2018,20.98
27/02/2018,20.27
28/02/2018,20.7
01/03/2018,20.44
02/03/2018,22.45
03/03/2018,21.63
04/03/2018,22.3
05/03/2018,21.41
06/03/2018,21
07/03/2018,21.33
08/03/2018,20.78
09/03/2018,20.83
10/03/2018,21.07
11/03/2018,21.02
12/03/2018,19.57
13/03/2018,20.83
14/03/2018,21.5
15/03/2018,22.99
16/03/2018,21.52
17/03/2018,20.66
18/03/2018,22.04
19/03/2018,21.49
20/03/2018,20.81
21/03/2018,20.49
22/03/2018,20.19
23/03/2018,21.38
24/03/2018,19.91
25/03/2018,20.76
26/03/2018,21.09
27/03/2018,20.7
28/03/2018,21.69
29/03/2018,21.75
30/03/2018,21.56
31/03/2018,22.82
01/04/2018,21.09
02/04/2018,20.98
03/04/2018,21.02
04/04/2018,21.89
05/04/2018,21.86
06/04/2018,22.24
07/04/2018,20.34
08/04/2018,21.79
09/04/2018,21.37
10/04/2018,22.6
11/04/2018,23.6
12/04/2018,22.85
13/04/2018,22.58
14/04/2018,21.86
15/04/2018,21.6
16/04/2018,22.39
17/04/2018,21.23
18/04/2018,21.62
19/04/2018,21.86
20/04/2018,21.14
21/04/2018,21.19
22/04/2018,21.64
23/04/2018,20.51
24/04/2018,21.18
25/04/2018,19.98
26/04/2018,21.41
27/04/2018,21.94
28/04/2018,22.18
29/04/2018,21.78
30/04/2018,22.12
01/05/2018,21.93
02/05/2018,22.7
03/05/2018,21.29
04/05/2018,22.01
05/05/2018,22.57
06/05/2018,22.81
07/05/2018,23.13
08/05/2018,22.2
09/05/2018,22.78
10/05/2018,21.37
11/05/2018,22.33
12/05/2018,22.58
13/05/2018,22.42
14/05/2018,22.47
15/05/2018,22.54
16/05/2018,20.53
17/05/2018,21.5
18/05/2018,21.32
19/05/2018,20.43
20/05/2018,21.28
21/05/2018,22.51
22/05/2018,22.98
23/05/2018,22.16
24/05/2018,21.95
25/05/2018,20.91
26/05/2018,21.8
27/05/2018,22.17
28/05/2018,21.61
29/05/2018,22.15
30/05/2018,22.32
31/05/2018,22.53
01/06/2018,22.08
02/06/2018,20.99
03/06/2018,22.28
04/06/2018,22.04
05/06/2018,22.32
06/06/2018,22.25
07/06/2018,22.41
08/06/2018,21.98
09/06/2018,22.31
10/06/2018,21.88
11/06/2018,22.24
12/06/2018,21.37
13/06/2018,20.78
14/06/2018,22.41
15/06/2018,21.27
16/06/2018,21.65
17/06/2018,21.59
18/06/2018,19.92
19/06/2018,22.12
20/06/2018,23.3
21/06/2018,22.34
22/06/2018,20.75
23/06/2018,20.25
24/06/2018,20.27
25/06/2018,18.41
26/06/2018,19.26
27/06/2018,21.57
28/06/2018,21.87
29/06/2018,21.45
30/06/2018,21.28
01/07/2018,21.5
02/07/2018,20.91
03/07/2018,21.01
04/07/2018,20.76
05/07/2018,5.67
06/07/2018,8.06
07/07/2018,14.16
08/07/2018,20.25
09/07/2018,21.77
10/07/2018,21.14
11/07/2018,21.31
12/07/2018,20.69
13/07/2018,20.75
14/07/2018,19.87
15/07/2018,18.44
16/07/2018,19.9
17/07/2018,20.61
18/07/2018,21.68
19/07/2018,21.35
20/07/2018,21.98
21/07/2018,19.94
22/07/2018,21.56
23/07/2018,21.33
24/07/2018,20.95
25/07/2018,21.19
26/07/2018,21.47
27/07/2018,21.12
28/07/2018,20.53
29/07/2018,20.81
30/07/2018,20.72
31/07/2018,21.36
01/08/2018,21.33
02/08/2018,20.43
03/08/2018,19.25
04/08/2018,18.62
05/08/2018,19.83
06/08/2018,20.76
07/08/2018,20.47
08/08/2018,21.09
09/08/2018,21.71
10/08/2018,23.2
11/08/2018,23.77
12/08/2018,21.1
13/08/2018,22.39
14/08/2018,21.18
15/08/2018,22.16
16/08/2018,21.3
17/08/2018,21.34
18/08/2018,21.62
19/08/2018,21.33
20/08/2018,22.28
21/08/2018,22.44
22/08/2018,22.64
23/08/2018,22.3
24/08/2018,21.85
25/08/2018,21.54
26/08/2018,21.83
27/08/2018,21.36
28/08/2018,21.35
29/08/2018,22.07
30/08/2018,21.71
31/08/2018,19.64
01/09/2018,22.21
02/09/2018,18.11
03/09/2018,21.47
04/09/2018,20.98
05/09/2018,21.1
06/09/2018,22.23
07/09/2018,20.3
08/09/2018,20.61
09/09/2018,22.05
10/09/2018,22.69
11/09/2018,22.02
12/09/2018,21.76
13/09/2018,21.54
14/09/2018,20.65
15/09/2018,21.19
16/09/2018,19.14
17/09/2018,21.65
18/09/2018,22
19/09/2018,21.9
20/09/2018,20.25
21/09/2018,20.59
22/09/2018,21.85
23/09/2018,20.73
24/09/2018,21.45
25/09/2018,22.23
26/09/2018,21.2
27/09/2018,20.51
28/09/2018,21.53
29/09/2018,21.74
30/09/2018,22.34
01/10/2018,21.94
02/10/2018,22.82
03/10/2018,22.05
04/10/2018,22.56
05/10/2018,22.33
06/10/2018,23.16
07/10/2018,22.81
08/10/2018,23.1
09/10/2018,22.39
10/10/2018,21.47
11/10/2018,22.73
12/10/2018,22.45
13/10/2018,22.05
14/10/2018,21.45
15/10/2018,22.9
16/10/2018,22.15
17/10/2018,21.77
18/10/2018,21.49
19/10/2018,21.84
20/10/2018,20.57
21/10/2018,22.37
22/10/2018,22.65
23/10/2018,19.26
24/10/2018,21.97
25/10/2018,22.02
26/10/2018,21.89
27/10/2018,22.18
28/10/2018,21.7
29/10/2018,22.42
30/10/2018,22.04
31/10/2018,21.95
01/11/2018,21.87
02/11/2018,21.74
03/11/2018,21.82
04/11/2018,22.37
05/11/2018,21.76
06/11/2018,20.52
07/11/2018,21.92
08/11/2018,21.85
09/11/2018,19.37
10/11/2018,21.43
11/11/2018,20.82
12/11/2018,21.75
13/11/2018,21.65
14/11/2018,22.13
15/11/2018,23.17
16/11/2018,24.13
17/11/2018,22.51
18/11/2018,22.64
19/11/2018,21.44
20/11/2018,21.92
21/11/2018,20.94
22/11/2018,22.73
23/11/2018,21.64
24/11/2018,21.21
25/11/2018,20.78
26/11/2018,20.91
27/11/2018,21.52
28/11/2018,20.44
29/11/2018,19.88
30/11/2018,21.17
01/12/2018,21.58
02/12/2018,21.86
03/12/2018,20.99
04/12/2018,20.45
05/12/2018,21.74
06/12/2018,20.35
07/12/2018,20.97
08/12/2018,21.86
09/12/2018,22.16
10/12/2018,22.01
11/12/2018,22.32
12/12/2018,21.26
13/12/2018,21.87
14/12/2018,22.45
15/12/2018,21.29
16/12/2018,20.93
17/12/2018,9.13
18/12/2018,13.9
19/12/2018,22.21
20/12/2018,22.04
21/12/2018,22.45
22/12/2018,21.78
23/12/2018,22.14
24/12/2018,22.26
25/12/2018,20.68
26/12/2018,19.79
27/12/2018,22.36
28/12/2018,22.34
29/12/2018,22.34
30/12/2018,22.06
31/12/2018,21.17
01/01/2019,21.41
02/01/2019,21.65
03/01/2019,22.67
04/01/2019,21.98
05/01/2019,22.41
06/01/2019,22.87
07/01/2019,22.16
08/01/2019,21.44
09/01/2019,21.54
10/01/2019,21.45
11/01/2019,21.57
12/01/2019,21.79
13/01/2019,21.19
14/01/2019,21.09
15/01/2019,21.6
16/01/2019,21.82
17/01/2019,20.97
18/01/2019,20.85
19/01/2019,20.95
20/01/2019,21.05
21/01/2019,21.04
22/01/2019,19.99
23/01/2019,20.6
24/01/2019,20.36
25/01/2019,20.95
26/01/2019,21.54
27/01/2019,20.29
28/01/2019,20.95
29/01/2019,20.6
30/01/2019,18.92
31/01/2019,20.9
01/02/2019,20.81
02/02/2019,21.97
03/02/2019,21.28
04/02/2019,22.2
05/02/2019,21.96
06/02/2019,20.57
07/02/2019,21.78
08/02/2019,21.69
09/02/2019,21.74
10/02/2019,21.83
11/02/2019,21.22
12/02/2019,21.92
13/02/2019,21.71
14/02/2019,22.05
15/02/2019,21.35
16/02/2019,21.52
17/02/2019,21.13
18/02/2019,21.76
19/02/2019,21.79
20/02/2019,20.33
21/02/2019,21.42
22/02/2019,21.62
23/02/2019,21.12
24/02/2019,21.92
25/02/2019,21.8
26/02/2019,24.41
27/02/2019,23.99
28/02/2019,22.26
01/03/2019,20.82
02/03/2019,21.11
03/03/2019,21.59
04/03/2019,20.7
05/03/2019,21.08
06/03/2019,19.32
07/03/2019,21.94
08/03/2019,21.76
09/03/2019,22.75
10/03/2019,21.75
11/03/2019,21.46
12/03/2019,21.05
13/03/2019,22.58
14/03/2019,22.47
15/03/2019,21.9
16/03/2019,21.05
17/03/2019,20.91
18/03/2019,21.37
19/03/2019,20.86
20/03/2019,21.25
21/03/2019,21.74
22/03/2019,22.27
23/03/2019,22.42
24/03/2019,22.28
25/03/2019,21.95
26/03/2019,22.05
27/03/2019,21.61
28/03/2019,21.22
29/03/2019,23.11
30/03/2019,22.33
31/03/2019,21.99
01/04/2019,21.58
02/04/2019,21.79
03/04/2019,22.26
04/04/2019,24.27
05/04/2019,21.99
06/04/2019,24.02
07/04/2019,23.04
08/04/2019,23.05
09/04/2019,23.22
10/04/2019,22.75
11/04/2019,22.82
12/04/2019,21.93
13/04/2019,22.81
14/04/2019,22.53
15/04/2019,21.71
16/04/2019,21.37
17/04/2019,22.88
18/04/2019,22.92
19/04/2019,21.84
20/04/2019,21.78
21/04/2019,23.67
22/04/2019,23.01
23/04/2019,23.07
24/04/2019,21
25/04/2019,22.69
26/04/2019,22.09
27/04/2019,21.23
28/04/2019,22.32
29/04/2019,22.73
30/04/2019,22.05
01/05/2019,17.99
02/05/2019,20.49
03/05/2019,23.85
04/05/2019,23.11
05/05/2019,21.64
06/05/2019,22.29
07/05/2019,22.57
08/05/2019,21.6
09/05/2019,21.87
10/05/2019,21.5
11/05/2019,22.87
12/05/2019,22.38
13/05/2019,24.09
14/05/2019,22.86
15/05/2019,22.7
16/05/2019,22.04
17/05/2019,22.27
18/05/2019,21.71
19/05/2019,22.86
20/05/2019,22.65
21/05/2019,23.03
22/05/2019,22.57
23/05/2019,22.92
24/05/2019,20.59
25/05/2019,22.24
26/05/2019,22.46
27/05/2019,22.44
28/05/2019,22.65
29/05/2019,17.8
30/05/2019,21.74
31/05/2019,22.66
01/06/2019,21.5
02/06/2019,21.33
03/06/2019,20.99
04/06/2019,22.3
05/06/2019,22.95
06/06/2019,22.58
07/06/2019,22.16
08/06/2019,21.87
09/06/2019,21.86
10/06/2019,22.79
11/06/2019,22.14
12/06/2019,20.78
13/06/2019,23.33
14/06/2019,22.37
15/06/2019,22.66
16/06/2019,21.8
17/06/2019,21.41
18/06/2019,21.84
19/06/2019,22.12
20/06/2019,22.46
21/06/2019,20.95
22/06/2019,22.13
23/06/2019,20.78
24/06/2019,21.29
25/06/2019,22.48
26/06/2019,22.15
27/06/2019,22.51
28/06/2019,21.76
29/06/2019,21.61
30/06/2019,21.68
01/07/2019,22.08
02/07/2019,21.92
03/07/2019,22.35
04/07/2019,21.51
05/07/2019,21.14
06/07/2019,22.49
07/07/2019,22.37
08/07/2019,20.83
09/07/2019,21.37
10/07/2019,17.99
11/07/2019,20.34
12/07/2019,21.03
13/07/2019,21.89
14/07/2019,20.52
15/07/2019,20.44
16/07/2019,20.23
17/07/2019,20.49
18/07/2019,22.57
19/07/2019,22.44
20/07/2019,22.46
21/07/2019,22.76
22/07/2019,22.03
23/07/2019,21.76
24/07/2019,22.09
25/07/2019,20.98
26/07/2019,21.93
27/07/2019,21.52
28/07/2019,22.01
29/07/2019,21.48
30/07/2019,20.91
31/07/2019,21.73
01/08/2019,24.33
02/08/2019,22.06
03/08/2019,23.73
04/08/2019,20.84
05/08/2019,20.4
06/08/2019,19.71
07/08/2019,20.35
08/08/2019,21.49
09/08/2019,21.06
10/08/2019,21.37
11/08/2019,21.41
12/08/2019,21.24
13/08/2019,21.86
14/08/2019,21.73
15/08/2019,20.88
16/08/2019,21.57
17/08/2019,21.36
18/08/2019,21.65
19/08/2019,21.57
20/08/2019,21.88
21/08/2019,23.03
22/08/2019,22.11
23/08/2019,21.45
24/08/2019,20.83
25/08/2019,21.22
26/08/2019,20.81
27/08/2019,20.31
28/08/2019,20.81
29/08/2019,21.27
30/08/2019,21.43
31/08/2019,20.72
01/09/2019,21.6
02/09/2019,20.8
03/09/2019,21.96
04/09/2019,22.21
05/09/2019,20.44
06/09/2019,21.09
07/09/2019,21.45
08/09/2019,21.37
09/09/2019,21.95
10/09/2019,23.16
11/09/2019,23.27
12/09/2019,22.37
13/09/2019,20.41
14/09/2019,20.11
15/09/2019,21.06
16/09/2019,22.11
17/09/2019,21.39
18/09/2019,22.01
19/09/2019,21.93
20/09/2019,22.73
21/09/2019,20.86
22/09/2019,23.35
23/09/2019,22.78
24/09/2019,23.07
25/09/2019,21.84
26/09/2019,21.55
27/09/2019,22.2
28/09/2019,22.2
29/09/2019,21.68
30/09/2019,22.8
01/10/2019,21.93
02/10/2019,22.11
03/10/2019,21.93
04/10/2019,23.17
05/10/2019,23.07
06/10/2019,21.83
07/10/2019,22.42
08/10/2019,21.13
09/10/2019,20.89
10/10/2019,22.65
11/10/2019,22.64
12/10/2019,21.46
13/10/2019,21.1
14/10/2019,22.32
15/10/2019,21.02
16/10/2019,22.33
17/10/2019,22.43
18/10/2019,21.94
19/10/2019,23.71
20/10/2019,19.65
21/10/2019,23.76
22/10/2019,27.1
23/10/2019,23.09
24/10/2019,23.3
25/10/2019,22
26/10/2019,19.76
27/10/2019,23.33
28/10/2019,22.4
29/10/2019,20.36
30/10/2019,21.92
31/10/2019,22.44
01/11/2019,21.07
02/11/2019,22.18
03/11/2019,20.87
04/11/2019,21.65
05/11/2019,21
06/11/2019,21.47
07/11/2019,24.05
08/11/2019,23.25
09/11/2019,24.16
10/11/2019,23.72
11/11/2019,20.31
12/11/2019,22.7
13/11/2019,21.54
14/11/2019,22.28
15/11/2019,21.85
16/11/2019,23.5
17/11/2019,23.37
18/11/2019,23.84
19/11/2019,22.59
20/11/2019,6.12
21/11/2019,19.99
22/11/2019,20.46
23/11/2019,21
24/11/2019,22.42
25/11/2019,21.49
26/11/2019,3.63
27/11/2019,21.69
28/11/2019,21.99
29/11/2019,22.11
30/11/2019,21.06
01/12/2019,21.92
02/12/2019,21.95
03/12/2019,22.07
04/12/2019,21.81
05/12/2019,21.87
06/12/2019,20.86
07/12/2019,20.21
08/12/2019,21.31
09/12/2019,21.81
10/12/2019,21.32
11/12/2019,22.01
12/12/2019,19.89
13/12/2019,20.92
14/12/2019,20.69
15/12/2019,20.81
16/12/2019,19.89
17/12/2019,19.36
18/12/2019,19.07
19/12/2019,21.25
20/12/2019,22.07
21/12/2019,21.7
22/12/2019,20.44
23/12/2019,21.95
24/12/2019,21.31
25/12/2019,20.18
26/12/2019,21.12
27/12/2019,20.47
28/12/2019,19.24
29/12/2019,21.15
30/12/2019,21.68
31/12/2019,20.31
01/01/2020,20.005
02/01/2020,19.7
03/01/2020,20.9
04/01/2020,19.71
05/01/2020,19.92
06/01/2020,19.92
07/01/2020,20.38
08/01/2020,20.18
09/01/2020,19.58
10/01/2020,19.81
11/01/2020,20.95
12/01/2020,21.51
13/01/2020,20.39
14/01/2020,21.04
15/01/2020,20.59
16/01/2020,21.73
17/01/2020,20.93
18/01/2020,20.52
19/01/2020,22.06
20/01/2020,21.62
21/01/2020,21.3
22/01/2020,21.44
23/01/2020,21.01
24/01/2020,20.48
25/01/2020,19.8
26/01/2020,21.47
27/01/2020,20.93
28/01/2020,21.6
29/01/2020,21.35
30/01/2020,21.7
31/01/2020,19.95
01/02/2020,19.67
02/02/2020,19.71
03/02/2020,19.04
04/02/2020,20.07
05/02/2020,20.49
06/02/2020,20.46
07/02/2020,20.34
08/02/2020,20.49
09/02/2020,21.06
10/02/2020,22.71
11/02/2020,21.65
12/02/2020,21.98
13/02/2020,20.96
14/02/2020,21.26
15/02/2020,20.25
16/02/2020,20.25
17/02/2020,20.78
18/02/2020,19.87
19/02/2020,19.9
20/02/2020,19.64
21/02/2020,20.2
22/02/2020,20.67
23/02/2020,20.47
24/02/2020,20.01
25/02/2020,20.03
26/02/2020,21.15
27/02/2020,20.96
28/02/2020,20.95
29/02/2020,21.35
01/03/2020,21.57
02/03/2020,21.55
03/03/2020,21.42
04/03/2020,21.53
05/03/2020,21.89
06/03/2020,22.08
07/03/2020,22.07
08/03/2020,21.75
09/03/2020,22.79
10/03/2020,22.62
11/03/2020,21.88
12/03/2020,20.47
13/03/2020,22.24
14/03/2020,22.06
15/03/2020,21.38
16/03/2020,20.81
17/03/2020,22.19
18/03/2020,21.03
19/03/2020,20.17
20/03/2020,20.44
21/03/2020,22.43
22/03/2020,21.75
23/03/2020,20.8
24/03/2020,21.55
25/03/2020,21.81
26/03/2020,20.63
27/03/2020,21.72
28/03/2020,21.88
29/03/2020,21.72
30/03/2020,20.52
31/03/2020,21.99
01/04/2020,22.07
02/04/2020,22.15
03/04/2020,22.17
04/04/2020,21.78
05/04/2020,20.8
06/04/2020,20.64
07/04/2020,21.42
08/04/2020,22.48
09/04/2020,21.27
10/04/2020,21.88
11/04/2020,22.09
12/04/2020,22.29
13/04/2020,21.61
14/04/2020,22.28
15/04/2020,22.16
16/04/2020,22.18
17/04/2020,21.41
18/04/2020,21.22
19/04/2020,22.39
20/04/2020,22.76
21/04/2020,20.92
22/04/2020,22.99
23/04/2020,23.88
24/04/2020,21.28
25/04/2020,23.77
26/04/2020,21.98
27/04/2020,20.25
28/04/2020,20.76
29/04/2020,21.26
30/04/2020,20.79
01/05/2020,21.25
02/05/2020,21.37
03/05/2020,22.14
04/05/2020,22.34
05/05/2020,22.25
06/05/2020,21.91
07/05/2020,22.84
08/05/2020,22.4
09/05/2020,21.64
10/05/2020,21.48
11/05/2020,21.84
12/05/2020,22.6
13/05/2020,22.08
14/05/2020,22.25
15/05/2020,22.26
16/05/2020,23.38
17/05/2020,22.46
18/05/2020,20.3
19/05/2020,22.37
20/05/2020,21.91
21/05/2020,22.8
22/05/2020,22.68
23/05/2020,22.32
24/05/2020,22.47
25/05/2020,21.98
26/05/2020,22.59
27/05/2020,21.68
28/05/2020,22.21
29/05/2020,21.36
30/05/2020,21.63
31/05/2020,21.12
01/06/2020,21.72
02/06/2020,21.81
03/06/2020,21.86
04/06/2020,22.28
05/06/2020,21.72
06/06/2020,22.78
07/06/2020,21.1
08/06/2020,21.53
09/06/2020,21.04
10/06/2020,22.44
11/06/2020,21.56
12/06/2020,21.81
13/06/2020,21.44
14/06/2020,23.07
15/06/2020,22.62
16/06/2020,22.69
17/06/2020,22.49
18/06/2020,21.74
19/06/2020,20.86
20/06/2020,21.93
21/06/2020,22.17
22/06/2020,21.21
23/06/2020,18.95
24/06/2020,21.19
25/06/2020,21.95
26/06/2020,21.4
27/06/2020,21.36
28/06/2020,21.59
29/06/2020,21.78
30/06/2020,21.44
01/07/2020,21.59
02/07/2020,20.81
03/07/2020,21.11
04/07/2020,20.79
05/07/2020,21.39
06/07/2020,21.29
07/07/2020,21.26
08/07/2020,20.6
09/07/2020,20.69
10/07/2020,21.63
11/07/2020,22.01
12/07/2020,21.66
13/07/2020,21.47
14/07/2020,22.81
15/07/2020,21.89
16/07/2020,21.85
17/07/2020,21.75
18/07/2020,22.13
19/07/2020,21.65
20/07/2020,21.27
21/07/2020,21.6
22/07/2020,21.68
23/07/2020,21.43
24/07/2020,21.71
25/07/2020,20.95
26/07/2020,20.41
27/07/2020,21.15
28/07/2020,21.11
29/07/2020,22.28
30/07/2020,20.41
31/07/2020,20.16
01/08/2020,20.85
02/08/2020,21.09
03/08/2020,21.74
04/08/2020,21.27
05/08/2020,21.15
06/08/2020,22.07
07/08/2020,22.32
08/08/2020,21.8
09/08/2020,21.96
10/08/2020,22.21
11/08/2020,20.98
12/08/2020,21.8
13/08/2020,19.95
14/08/2020,20.45
15/08/2020,21.55
16/08/2020,21.6
17/08/2020,21.63
18/08/2020,20.42
19/08/2020,21.65
20/08/2020,21.71
21/08/2020,21.59
22/08/2020,22.11
23/08/2020,21.94
24/08/2020,21.26
25/08/2020,22.19
26/08/2020,22.63
27/08/2020,22.14
28/08/2020,21.83
29/08/2020,22.14
30/08/2020,22
31/08/2020,21.41
01/09/2020,22.55
02/09/2020,21.24
03/09/2020,22.52
04/09/2020,22.58
05/09/2020,21.71
06/09/2020,21.94
07/09/2020,21.79
08/09/2020,21.93
09/09/2020,23.03
10/09/2020,21.48
11/09/2020,21.95
12/09/2020,21.89
13/09/2020,21.49
14/09/2020,21.23
15/09/2020,19.56
16/09/2020,21.36
17/09/2020,21.08
18/09/2020,21.65
19/09/2020,24.01
20/09/2020,20.29
21/09/2020,20.87
22/09/2020,20.07
23/09/2020,22.05
24/09/2020,22.43
25/09/2020,24.45
26/09/2020,21.11
27/09/2020,20.09
28/09/2020,21.99
29/09/2020,21.23
30/09/2020,22.75
01/10/2020,22.16
02/10/2020,21.53
03/10/2020,20.42
04/10/2020,21.28
05/10/2020,19.8
06/10/2020,21.19
07/10/2020,21.61
08/10/2020,21.2
09/10/2020,21.05
10/10/2020,20.79
11/10/2020,22
12/10/2020,22.03
13/10/2020,20.93
14/10/2020,22.28
15/10/2020,21.84
16/10/2020,20.38
17/10/2020,20.82
18/10/2020,20.78
19/10/2020,20.12
20/10/2020,20.64
21/10/2020,20.62
22/10/2020,21.26
23/10/2020,21.07
24/10/2020,20.74
25/10/2020,20.79
26/10/2020,20.22
27/10/2020,19.87
28/10/2020,20.91
29/10/2020,23.05
30/10/2020,21.11
31/10/2020,20.42
01/11/2020,20.72
02/11/2020,21.25
03/11/2020,21.55
04/11/2020,21.48
05/11/2020,21.56
06/11/2020,21.75
07/11/2020,21.55
08/11/2020,21.41
09/11/2020,21.7
10/11/2020,20.97
11/11/2020,22.04
12/11/2020,22.59
13/11/2020,22.72
14/11/2020,21.53
15/11/2020,22.84
16/11/2020,22.27
17/11/2020,21.77
18/11/2020,22.01
19/11/2020,22.91
20/11/2020,22.84
21/11/2020,20.34
22/11/2020,20.54
23/11/2020,20.43
24/11/2020,20.76
25/11/2020,21.8
26/11/2020,21.68
27/11/2020,21.1
28/11/2020,21.06
29/11/2020,21.6
30/11/2020,19.96
01/12/2020,21.43
02/12/2020,22.25
03/12/2020,20.97
04/12/2020,20.84
05/12/2020,19.2
06/12/2020,18.91
07/12/2020,20.31
08/12/2020,21.43
09/12/2020,19.88
10/12/2020,19.56
11/12/2020,19.84
12/12/2020,20.24
13/12/2020,19.94
14/12/2020,20.43
15/12/2020,19.85
16/12/2020,20.38
17/12/2020,20.59
18/12/2020,20.84
19/12/2020,20.64
20/12/2020,21.23
21/12/2020,19.67
22/12/2020,19.74
23/12/2020,21.92
24/12/2020,20.52
25/12/2020,20.76
26/12/2020,21.22
27/12/2020,21.04
28/12/2020,21.52
29/12/2020,20.43
30/12/2020,20.13
31/12/2020,20.77
