unit,cycle,temp,rh,pressure,ws,wd,ch,solrad,status
1,1,21.5,77.8,649.03,0.66,201.46,0,218.15,suspect
1,2,20.91,79.94,616.45,0.57,191.57,0,176.43,suspect
1,3,21.01,78.2,588.29,0.62,190.55,0,212.04,suspect
1,4,20.76,79.88,560.79,0.54,199.04,0,149.98,suspect
1,5,5.67,19,146.95,0.35,66.04,0,98.11,suspect
1,6,8.06,21.68,190.53,0.71,98.11,0,109.48,suspect
1,7,14.16,38.08,334.56,1.24,172.27,0,192.24,suspect
1,8,20.25,54.47,478.58,1.78,246.43,0,275,suspect
1,9,21.77,79.56,603.65,0.74,228.69,0,122.67,suspect
1,10,21.14,82.22,617.2,0.37,208.72,0,137.52,suspect
1,11,21.31,76.03,607.42,0.52,196.49,0,222.01,suspect
1,12,20.69,75.07,609.68,0.52,201.94,0,178.63,suspect
1,13,20.75,73.34,600.25,0.33,197.49,0,164.8,suspect
1,14,19.87,81.4,601.17,0.33,187.61,0,110.67,suspect
1,15,18.44,87.24,610.18,0.07,105.98,0,15.49,suspect
1,16,19.9,75.94,608.96,0.43,206.59,0.77,164.41,suspect
1,17,20.61,76.91,638.36,0.56,201.39,0.01,179.12,suspect
1,18,21.68,71.54,610.64,0.47,205.94,0,225.91,suspect
1,19,21.35,78.67,610.82,0.49,196.7,0,179.31,good
1,20,21.98,78.89,607.59,0.53,200.96,0,197.55,suspect
1,21,19.94,75.04,584.28,0.29,179.37,1.97,107.1,suspect
1,22,21.56,81.3,663.21,0.35,173.62,4.43,167.65,suspect
1,23,21.33,77.17,622.44,0.36,204.62,0.05,177.62,suspect
1,24,20.95,79.47,622.48,0.57,201.59,0,116.44,good
1,25,21.19,75.57,611.97,0.62,192.96,0,162.37,suspect
1,26,21.47,73.69,837.53,0.52,195.62,0,200.95,suspect
1,27,21.12,68.79,894.92,0.4,195.19,0,217.02,suspect
1,28,20.53,72.7,888.24,0.52,210.12,0,191.83,suspect
1,29,20.81,78.27,903.89,0.54,224.81,0,190.86,suspect
1,30,20.72,79.19,904.17,0.52,212.53,0,160.58,suspect
2,1,27.71,79.72,1001.57,0.73,191.48,0,234.42,suspect
2,2,26.37,86.2,1001.24,0.97,141.79,12.57,193.79,good
2,3,27.3,83.98,1002.57,0.85,220.5,0,212.21,suspect
2,4,25.86,91.85,1001.78,0.57,153.2,15.5,104.83,suspect
2,5,25.81,91.28,1002.29,0.74,173.85,11.66,152.48,suspect
2,6,26.37,86.62,1003.26,0.61,86.34,0,170.56,suspect
2,7,26.71,87.93,1003.75,0.29,91.81,0.23,122.41,suspect
2,8,28.42,82.33,1004.48,0.78,191.97,0,204.81,suspect
2,9,27.53,82.4,1005.33,1.09,184.16,0,233.51,suspect
2,10,26.49,83.98,1004.79,1.24,183.17,15.95,232.54,suspect
2,11,27.12,77.01,1003.9,0.96,252.79,0,184.2,suspect
2,12,27.77,78.72,1003.42,1.64,271.05,0,244.23,good
2,13,26.56,81.78,1003.27,1.59,287.32,0,126.23,suspect
2,14,26.2,84.16,1003.65,1.45,245.41,0,146.88,suspect
2,15,26.43,83.73,1002.41,1.27,252.79,0,145.52,suspect
2,16,26.83,75.9,1002.36,1.77,234.95,0,226.18,good
2,17,27.04,80.86,1002.17,1.04,234.01,0,181.72,suspect
2,18,26.02,87.19,995.82,1.09,212.61,0.22,160.85,suspect
2,19,27.09,82.3,1002.25,0.8,197.18,0,159.56,suspect
2,20,27.17,82,1001.41,0.82,178.99,0,147.28,suspect
2,21,26.75,85.32,999.77,1.03,195.74,6.1,179.06,suspect
2,22,26.39,84.2,1000.61,1.43,236.33,0,149.44,suspect
2,23,26.65,82.61,993.81,1.1,221.58,0,194.36,suspect
2,24,27.95,82.27,1000.57,1.31,195.34,0,210.14,suspect
2,25,27.76,76.5,1000.15,1.4,217.1,0,215.13,good
2,26,27.36,79.05,1000.41,1.49,236.73,0,222.96,good
2,27,27.08,76.29,993.92,1.62,266.34,0,190.71,suspect
2,28,26.37,79.56,1001.51,2.1,253.03,0,97.73,suspect
2,29,27.55,78.64,1002.57,1.16,209.05,0,169.16,suspect
2,30,27.3,82.59,1002.82,1.59,239.23,0.16,216.62,good
3,1,29.47,65.56,1003.21,1.01,69.88,0,162.45,suspect
3,2,29.45,67.54,1003.43,0.9,117.87,0,154.43,suspect
3,3,28.16,75.6,1003.55,0.77,119.92,3.45,107.94,suspect
3,4,29.15,69.27,1003.7,0.93,81.53,0,133.93,good
3,5,33.32,55.06,1003.03,1.79,63.86,0,511.85,suspect
3,6,30.51,63.56,1003.05,1.35,73.82,0,190.17,suspect
3,7,30.12,63.52,1002.87,1.25,78.28,0,154.31,suspect
3,8,29.86,67.18,999.22,1.06,110.18,0,156.26,suspect
3,9,30.32,67.62,1009.96,1.2,84.5,0,160.02,suspect
3,10,29.78,63.56,1002.83,1.3,77.29,0,161.35,suspect
3,11,29.5,65.76,998.82,1.07,73.78,0,136.02,suspect
3,12,30,66.52,1009.06,0.88,152.44,0,157.09,suspect
3,13,30.3,66.9,1008.52,1.02,87.71,0,141.39,suspect
3,14,29.87,64.42,993.92,0.83,85.72,0.25,137.54,suspect
3,15,28.62,66.77,976.08,0.99,102.65,0,105,suspect
3,16,29.25,70.48,993.34,0.85,142.38,0,99.58,suspect
3,17,28.64,73.52,996.93,0.67,65.45,0,79.69,suspect
3,18,29.41,71.47,999.75,0.98,172.41,0,140.66,suspect
3,19,27.96,73.78,989.69,1.05,133.95,0,140.03,suspect
3,20,28.34,70.85,986.94,1.02,111.26,0,127.8,suspect
3,21,28.7,71.43,987.14,1.28,120.53,0,102.63,good
3,22,29.79,70.7,1007.45,1.54,86.3,0.19,157.59,suspect
3,23,27.87,78.56,1001.6,0.99,88.98,2.55,77.42,suspect
3,24,29.14,71.65,1000.81,0.77,96.69,0.02,136.31,suspect
3,25,27.87,82.15,1007.85,0.69,66.34,0.69,57.37,suspect
3,26,29.67,69.13,1001.03,0.9,82.61,0,139.52,suspect
3,27,29.48,71.42,1008.8,1.05,249.07,0,126.17,suspect
3,28,29.39,73.58,1008.84,1.09,197.85,0,125.73,good
3,29,29.54,69.14,1008.58,0.8,94.34,0,134.92,suspect
3,30,29.72,69.8,1009.05,1.04,220.69,0,148.4,good
3,31,26.8,77.8,1009.95,0.2,198.37,0,26.09,suspect
